Game,Offense Player,OFF Team,Defense Player,DEF Team,MIN,Partial Poss,DEF Time Percent,OFF Time Percent,Both On Percent,Players PTS,Team PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL
1,Jalen Williams,OKC,Harrison Barnes,SAS,00:17,1.5,14.1,2.1,14.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,Jalen Williams,OKC,Carter Bryant,SAS,00:46,3.5,14.4,5.7,55.7,2,4,0,0,0,1,2,50,0,0,0,0,0,0
1,Jalen Williams,OKC,Stephon Castle,SAS,01:30,7.6,8.6,11.2,12.5,4,6,0,0,0,2,4,50,0,1,0,0,0,0
1,Jalen Williams,OKC,Julian Champagnie,SAS,01:15,9.1,7.8,9.2,12,4,18,1,0,1,2,3,66.7,0,0,0,0,0,0
1,Jalen Williams,OKC,Dylan Harper,SAS,04:23,23,25.5,32.5,35.3,7,21,2,2,0,3,5,60,1,1,100,0,0,0
1,Jalen Williams,OKC,Keldon Johnson,SAS,00:24,1.9,4.9,3,17.9,2,2,0,0,0,0,1,0,0,1,0,2,2,1
1,Jalen Williams,OKC,Luke Kornet,SAS,00:17,3.3,8.7,2.1,12.4,2,6,0,0,0,1,2,50,0,0,0,0,0,0
1,Jalen Williams,OKC,Devin Vassell,SAS,02:26,16.3,13.3,18.1,18.1,4,16,0,0,1,2,6,33.3,0,0,0,0,0,0
1,Jalen Williams,OKC,Victor Wembanyama,SAS,01:39,6.1,9.2,12.2,14.8,0,10,0,0,1,0,3,0,0,0,0,0,0,0
1,Chet Holmgren,OKC,Harrison Barnes,SAS,00:17,1.8,13.8,1.9,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Chet Holmgren,OKC,Carter Bryant,SAS,00:05,0.6,1.4,0.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Chet Holmgren,OKC,Stephon Castle,SAS,01:59,11.2,11.3,13.5,14.2,0,11,0,1,0,0,2,0,0,1,0,0,0,0
1,Chet Holmgren,OKC,Julian Champagnie,SAS,02:20,12,14.6,15.8,18.5,0,11,0,0,1,0,1,0,0,1,0,0,0,0
1,Chet Holmgren,OKC,Dylan Harper,SAS,01:35,7.5,9.2,10.8,13.8,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1,Chet Holmgren,OKC,Keldon Johnson,SAS,02:02,10.1,24.4,13.8,58.1,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1,Chet Holmgren,OKC,Luke Kornet,SAS,00:03,0.3,1.4,0.3,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Chet Holmgren,OKC,Devin Vassell,SAS,04:36,24,25,31.2,31.8,3,27,0,0,1,1,3,33.3,1,1,100,0,0,0
1,Chet Holmgren,OKC,Victor Wembanyama,SAS,02:41,15.9,15,18.2,19.4,3,20,0,0,0,1,2,50,1,1,100,0,0,0
1,Isaiah Hartenstein,OKC,Harrison Barnes,SAS,00:05,0.5,4.3,2,6.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,Isaiah Hartenstein,OKC,Carter Bryant,SAS,00:04,0.4,1.2,1.5,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Isaiah Hartenstein,OKC,Stephon Castle,SAS,00:34,5.3,3.2,13.1,16.7,0,6,0,1,0,0,0,0,0,0,0,0,0,0
1,Isaiah Hartenstein,OKC,Julian Champagnie,SAS,00:05,0.5,0.5,1.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Isaiah Hartenstein,OKC,Dylan Harper,SAS,00:11,1.9,1,4.1,5.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,Isaiah Hartenstein,OKC,Keldon Johnson,SAS,00:06,0.5,1.2,2.3,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Isaiah Hartenstein,OKC,Luke Kornet,SAS,02:34,12.9,77.3,59.6,77.3,0,13,2,0,0,0,0,0,0,0,0,0,0,0
1,Isaiah Hartenstein,OKC,Devin Vassell,SAS,00:08,1,0.7,3.1,4.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,Isaiah Hartenstein,OKC,Victor Wembanyama,SAS,00:41,3.6,3.8,15.9,69.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,Luguentz Dort,OKC,Stephon Castle,SAS,01:13,4.2,7,13.6,14.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,Luguentz Dort,OKC,Julian Champagnie,SAS,03:21,17.7,21,37.1,44.8,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1,Luguentz Dort,OKC,Dylan Harper,SAS,00:25,2.9,2.4,4.6,6.1,3,9,0,0,0,1,2,50,1,2,50,0,0,0
1,Luguentz Dort,OKC,Keldon Johnson,SAS,01:17,5.7,15.4,14.2,38.3,2,6,0,0,0,1,3,33.3,0,2,0,0,0,0
1,Luguentz Dort,OKC,Luke Kornet,SAS,00:01,0.1,0.7,0.3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Luguentz Dort,OKC,Devin Vassell,SAS,00:27,2,2.4,4.9,5.3,0,8,1,0,0,0,0,0,0,0,0,0,0,0
1,Luguentz Dort,OKC,Victor Wembanyama,SAS,02:07,9.4,11.9,23.5,27,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1,Shai Gilgeous-Alexander,OKC,Carter Bryant,SAS,03:15,14.9,60.6,17.3,71.5,2,12,2,1,0,0,1,0,0,0,0,2,2,1
1,Shai Gilgeous-Alexander,OKC,Stephon Castle,SAS,06:51,38.8,39,36.3,42.8,7,32,3,1,0,2,7,28.6,1,1,100,2,2,1
1,Shai Gilgeous-Alexander,OKC,Julian Champagnie,SAS,02:14,10.6,14,11.8,14.6,4,9,0,1,0,1,4,25,0,2,0,2,2,1
1,Shai Gilgeous-Alexander,OKC,Dylan Harper,SAS,02:17,10.7,13.3,12.1,14.8,3,17,1,0,0,1,4,25,1,3,33.3,0,0,0
